id|producto|costo|codigo de barras|catidad|costo de compra|marca|
451|mermelada chabacano 270gr|26|7501052474144|0|0|clemente|
452|mermelada zarzamora 270gr|26|7501052474236|0|0|clemente|
453|mermelada frambuesa 270gr|26|7501052474335|0|0|clemente|
454|mitades de durazno 820gr|37|7501052477107|0|0|clemente|
455|trozitos de durazno 425gr|24|7501052477121|0|0|clemente|
456|rebanadas de pi�a almibar 800gr|32|7501052477206|0|0|clemente|
457|vi�a real durazno|18|7501053670507|0|0|vi�a|
458|vi�a real kiwi|18|7501053670545|0|0|vi�a|
459|vi�a real fresa sandia |18|7501053670569|0|0|vi�a|
460|coca-cola menos azucar lata 355ml|13|7501055300075|0|0|cocacola|
461|coca retornable 1,25Lts|17|7501055300952|0|15||
462|coca-cola 1lt|19|7501055302451|0|16|cocacola|
463|coca-cola 2lt|30|7501055302925|0|22,125|cocacola|
464|fanta naranja 600ml|11|7501055303779|0|0|cocacola|
465|coca-cola 3lt|38|7501055304745|0|34|cocacola|
466|ciel mineralizada 600ml|11|7501055308248|0|0|cocacola|
467|coca-cola retornable 2,5lt|24|7501055310227|0|0|cocacola|
468|fanta uva 3lt|27|7501055317462|0|0|cocacola|
469|fanta tuti-fruti 2lt|21|7501055318513|0|0|cocacola|
470|del valle mango 1lt|21|7501055333844|0|0|del valle|
471|del valle durazno 1lt|21|7501055333851|0|0|del valle|
472|del valle manzana 1lt|21|7501055333868|0|0|del valle|
473|sidral mundet 2lt|24|7501055340002|0|0|cocacola|
474|sidral mundet 3lt|27|7501055340422|0|0|cocacola|
475|fuzetea te verde 600ml|13|7501055358892|0|0|cocacola|
476|coca-cola lata 355ml|13|7501055361540|0|10,7|cocacola|
477|leche alpura clasica|24|7501055900039|0|0||
478|leche alpura vaqui choco 1l|24|7501055900060|0|0|alpura|
479|leche alpura vaqui fresa 1l|24|7501055900077|0|0|alpura|
480|leche alpura vaqui vainilla 1l|24|7501055900084|0|0|alpura|
481|leche vaquita chocolate 250ml|9|7501055909575|0|0|alpura|
482|leche vaquita fresa 250ml|9|7501055909582|0|0|alpura|
483|leche vaquita vainilla 250ml|9|7501055909599|0|0|alpura|
484|cremas ponds 50g|40|7501056325442|0|0||
485|paleta bubaloo fresa|5|7501056900151|0|0||
486|leche carnation nestle 360gr|16|7501058611062|0|0|nestle|
487|gerber junior manzana 110gr|11|7501058614322|0|0|nestle|
488|lechera bote 387g|20|7501058617873|0|0||
489|la lechera nestle bolsa 90gr |13|7501058620750|0|0|nestle|
490|nesquik 80gr|13|7501058625908|0|0|nestle|
491|trix 80gr |13|7501058626721|0|0|nestle|
492|fitnes chocolate|8|7501058630179|0|0||
493|pureza vital nestle 1,5l |8|7501059200777|0|0|nestle|
494|la lechera nestle lata 100gr|11|7501059211209|0|0|nestle|
495|la lechera nestle botella 335gr|22|7501059278868|0|0|nestle|
496|chocolate morelia 155gr|18|7501059289239|0|0|morelia|
497|aguitas nestle manzana 300ml|5|7501059295254|0|0|nestle|
498|aguitas nestle uva 300ml |5|7501059295315|0|0|nestle|
499|pureza vital nestle 300ml|5|7501059295551|0|0|nestle|
500|aguitas nestle fresa 300ml|5|7501059295612|0|0|nestle|
501|corona mega 1,2L|32|7501064101205|0|0||
502|corona light lata 355ml|16|7501064107153|0|0|corona|
503|modelo especial lata 355ml|16|7501064112546|0|0|modelo|
504|corona  355ml|16|7501064190711|0|0||
505|victoria botella 1,2L|32|7501064191909|0|0||
506|corona extra laton 473ml|17|7501064193859|0|0|corona|
507|victoria lata 473ml|17|7501064194139|0|0||
508|modelo negra lata 355ml|17|7501064196935|0|0|modelo|
509|cerveza michelob ultra 355ml|18|7501064198168|0|0|corona|
510|ariel jabon 250g|13|7501065908841|0|0||
511|squirt 2lt|21|7501071120077|0|0|pepsi|
512|squirt 600ml|11|7501071120183|0|0|pepsi|
513|poett bosque de bamb�|15|7501071903137|0|0||
514|clorox color|26|7501071903878|0|0||
515|pe�afiel  2Lts|21|7501073800908|0|0||
516|pe�afiel natural 600ml|11|7501073830509|0|0|cocacola|
517|pe�afiel twist|11|7501073831469|0|0|cocacola|
518|ginger ale schweppers 600ml |12|7501073833722|0|0|cocacola|
519|schweppes ginger 1L|15|7501073833739|0|0||
520|pe�a fiel naranjada 600ml|11|7501073839854|0|0||
521|pe�afiel limonada 600ml|11|7501073839885|0|0|cocacola|
522|pe�afiel pi�ada 600ml|11|7501073841925|0|0|cocacola|
523|pe�a fiel mangada 600ml|11|7501073842670|0|0|cocacola|
524|del fuerte pure de tomate 210gr|7|7501079702817|0|0|del fuerte|
525|vinagre blanco 1,05lt|14|7501083100029|0|0|la coste�a|
526|vinagre de manzana barrilito 750ml|16|7501083100036|0|0|barrilito|
527|epura 2lt|15|7501086800636|0|0|epura|
528|agua e pura 1l |10|7501086801046|0|0|epura|
529|e-pura  600ml|8|7501086801121|0|0||
530|sopa vesta fideo mediano 160gr|5|7501092604518|0|0|vesta|
531|canada dry 1L|15|7501198350104|0|0||
532|mascolor|20|7501199413006|0|0||
533|gelatina pronto fresa 84gr|11|7501200482120|0|0|pronto|
534|gelatina pronto limon 84gr|11|7501200482137|0|0|pronto|
535|gelatina pronto naranja 84gr|11|7501200482144|0|0|pronto|
536|gelatina pronto pi�a 84gr|11|7501200482151|0|0|pronto|
